WEBSITE,YEAR,PAGE PATH,PAGE URL,PAGE VIEWS,UNIQUE VIEWS,AVERAGE TIME ON PAGE (SECONDS),ENTRANCES,BOUNCE RATE (%),EXIT RATE (%)
my.brla.gov,2017,"['', 'socmeterms.htm']",http://my.brla.gov/socmeterms.htm,2,1,16.0,0,0.0,50.0
my.brla.gov,2016,"['', 'dept', 'brpd', 'csr', 'zone.asp']",http://my.brla.gov/dept/brpd/csr/zone.asp,10,7,358.56,0,0.0,20.83
my.brla.gov,2017,"['', 'dept', 'planning', 'calendar', '2016', 'september.htm']",http://my.brla.gov/dept/planning/calendar/2016/september.htm,1,1,3.0,0,0.0,0.0
my.brla.gov,2017,"['', 'dept', 'hr', 'jobann.asp']",http://my.brla.gov/dept/hr/jobann.asp,8,8,38.64,0,0.0,14.29
my.brla.gov,2023,"['', 'login']",http://my.brla.gov/login,2629,1916,22.45,2570,0.24,0.27
my.brla.gov,2017,"['', 'dept', 'citycourt', 'criminalfaqs.htm']",http://my.brla.gov/dept/citycourt/criminalfaqs.htm,1,1,0.0,0,0.0,100.0
my.brla.gov,2017,"['', 'dept', 'oep', 'publicinfo.htm']",http://my.brla.gov/dept/oep/publicinfo.htm,1,1,32.0,0,0.0,0.0
my.brla.gov,2016,"['', 'dept', 'hr', 'benefits.htm']",http://my.brla.gov/dept/hr/benefits.htm,1,1,0.0,0,0.0,100.0
my.brla.gov,2017,"['', 'dept', 'mayor', '']",http://my.brla.gov/dept/mayor/,5,5,34.0,0,0.0,80.0
my.brla.gov,2017,"['', 'dept', 'council', 'boards.asp']",http://my.brla.gov/dept/council/boards.asp,8,4,4.83,0,0.0,0.0
my.brla.gov,2016,"['', 'dept', 'citycourt', 'warrants', '']",http://my.brla.gov/dept/citycourt/warrants/,5,3,7.83,0,0.0,11.11
my.brla.gov,2017,"['', 'dept', 'planning_old', 'bike', 'biketowork.htm']",http://my.brla.gov/dept/planning_old/bike/biketowork.htm,1,1,0.0,0,0.0,100.0
my.brla.gov,2017,"['', 'http']",http://my.brla.gov/http,1,1,9.0,0,0.0,0.0
my.brla.gov,2018,"['', 'dept', 'recycle', 'householdhazardous.htm']",http://my.brla.gov/dept/recycle/householdhazardous.htm,5,2,94.33,40,0.0,40.0
my.brla.gov,2016,"['', 'dept', 'brpd', '']",http://my.brla.gov/dept/brpd/,1,1,5.0,0,0.0,0.0
