WEBSITE,YEAR,PAGE PATH,PAGE URL,PAGE VIEWS,UNIQUE VIEWS,AVERAGE TIME ON PAGE (SECONDS),ENTRANCES,BOUNCE RATE (%),EXIT RATE (%)
gis.brla.gov,2017,"['', 'mygovernmentservices', '']",http://gis.brla.gov/mygovernmentservices/,10093,8505,158.81,16701,79.88,79.67
gis.brla.gov,2017,"['', 'propertylookup-2.asp']",http://gis.brla.gov/propertylookup-2.asp,202,13,30.88,43,4.76,10.09
gis.brla.gov,2019,"['', 'history.asp']",http://gis.brla.gov/history.asp,46,37,66.99,1051,39.58,56.5
gis.brla.gov,2018,"['', 'default_ebrgis.asp']",http://gis.brla.gov/default_ebrgis.asp,5,2,254.6,20,0.0,0.0
gis.brla.gov,2015,"['', 'cac.asp']",http://gis.brla.gov/cac.asp,35,19,33.57,67,44.44,40.4
gis.brla.gov,2018,"['', 'census10.asp']",http://gis.brla.gov/census10.asp,470,238,54.9,6914,23.31,33.22
gis.brla.gov,2015,"['', 'jurisdictionlookup.asp']",http://gis.brla.gov/jurisdictionlookup.asp,1342,357,61.11,206,45.06,34.88
gis.brla.gov,2016,"['', 'default_gisday.asp']",http://gis.brla.gov/default_gisday.asp,55,3,103.5,4,0.0,1.82
gis.brla.gov,2019,"['', 'streetrange.asp']",http://gis.brla.gov/streetrange.asp,397,115,39.36,2079,23.31,39.39
gis.brla.gov,2019,"['', 'recognition.asp']",http://gis.brla.gov/recognition.asp,20,16,179.56,600,50.0,68.33
gis.brla.gov,2016,"['', 'census', '']",http://gis.brla.gov/census/,3,3,33.0,100,33.33,33.33
gis.brla.gov,2017,"['', 'streetaddressing.asp']",http://gis.brla.gov/streetaddressing.asp,909,782,103.65,7337,60.51,62.54
gis.brla.gov,2017,"['', 'streetrange.asp']",http://gis.brla.gov/streetrange.asp,1517,310,52.59,1695,15.73,27.49
gis.brla.gov,2016,"['', 'propertydetail.asp']",http://gis.brla.gov/propertydetail.asp,98103,80824,161.86,1330698,14.64,44.15
gis.brla.gov,2016,"['', 'census00.asp']",http://gis.brla.gov/census00.asp,86,18,96.65,6,40.0,10.47
gis.brla.gov,2016,"['', 'census10', 'default_old.asp']",http://gis.brla.gov/census10/default_old.asp,1,1,0.0,0,0.0,100.0
gis.brla.gov,2017,"['', 'gisteam.asp']",http://gis.brla.gov/gisteam.asp,553,482,40.55,974,10.89,41.53
gis.brla.gov,2017,"['', 'eiengrant.asp']",http://gis.brla.gov/eiengrant.asp,97,80,123.46,538,8.07,39.46
gis.brla.gov,2019,"['', 'censusinfo00.asp']",http://gis.brla.gov/censusinfo00.asp,19,15,16.95,300,20.0,20.0
gis.brla.gov,2015,"['', 'publications.asp']",http://gis.brla.gov/publications.asp,78,60,63.65,16,33.33,49.21
gis.brla.gov,2017,"['', 'propertylookup-3.asp']",http://gis.brla.gov/propertylookup-3.asp,11,3,164.12,11,0.0,5.56
gis.brla.gov,2018,"['', 'faq.asp']",http://gis.brla.gov/faq.asp,156,120,34.72,1025,9.38,52.52
gis.brla.gov,2017,"['', 'publications.asp']",http://gis.brla.gov/publications.asp,135,109,85.29,413,10.26,44.12
gis.brla.gov,2019,"['', 'census10', 'censusinfo.asp']",http://gis.brla.gov/census10/censusinfo.asp,34,20,110.21,710,41.67,48.54
gis.brla.gov,2021,"['', '']",http://gis.brla.gov/,1,1,0.0,100,100.0,100.0
gis.brla.gov,2016,"['', 'mygovernmentservices', '']",http://gis.brla.gov/mygovernmentservices/,19925,17265,133.85,1595,84.94,89.0
gis.brla.gov,2018,"['', 'historiccensustest.asp']",http://gis.brla.gov/historiccensustest.asp,7,1,72.83,14,0.0,14.29
gis.brla.gov,2019,"['', 'addressrequest.asp']",http://gis.brla.gov/addressrequest.asp,143,115,76.82,2234,48.74,62.08
gis.brla.gov,2016,"['', 'roadclosuretest.asp']",http://gis.brla.gov/roadclosuretest.asp,34,7,91.93,15,60.0,17.65
gis.brla.gov,2018,"['', 'streetrange.asp']",http://gis.brla.gov/streetrange.asp,1600,436,46.23,5800,17.53,34.39
gis.brla.gov,2019,"['', 'staff.asp']",http://gis.brla.gov/staff.asp,61,55,102.13,1237,35.14,57.52
gis.brla.gov,2019,"['', 'gisteam.asp']",http://gis.brla.gov/gisteam.asp,113,97,79.0,315,8.82,49.15
gis.brla.gov,2016,"['', 'disclaimer.asp']",http://gis.brla.gov/disclaimer.asp,60,51,51.48,78,0.0,35.1
gis.brla.gov,2015,"['', 'propertydetail.asp']",http://gis.brla.gov/propertydetail.asp,23502,18882,189.12,247301,10.79,34.82
gis.brla.gov,2015,"['', 'streetaddressing.asp']",http://gis.brla.gov/streetaddressing.asp,250,206,106.71,107,60.05,45.35
gis.brla.gov,2018,"['', 'eiengrant.asp']",http://gis.brla.gov/eiengrant.asp,165,142,43.73,2467,23.21,52.56
gis.brla.gov,2017,"['', 'aboutod.asp']",http://gis.brla.gov/aboutod.asp,63,57,90.46,2569,55.74,71.46
gis.brla.gov,2018,"['', 'staff.asp']",http://gis.brla.gov/staff.asp,269,214,71.16,3425,21.93,45.6
gis.brla.gov,2017,"['', 'census00.asp']",http://gis.brla.gov/census00.asp,31,25,17.55,0,0.0,20.59
gis.brla.gov,2019,"['', '']",http://gis.brla.gov/,7158,6202,149.8,9936,60.27,67.57
gis.brla.gov,2017,"['', 'propertylookup.asp']",http://gis.brla.gov/propertylookup.asp,110198,33243,45.6,5533,18.59,12.66
gis.brla.gov,2016,"['', 'c-propertydetail.asp']",http://gis.brla.gov/c-propertydetail.asp,164,88,85.28,394,7.84,25.18
