WEBSITE,YEAR,PAGE PATH,PAGE URL,PAGE VIEWS,UNIQUE VIEWS,AVERAGE TIME ON PAGE (SECONDS),ENTRANCES,BOUNCE RATE (%),EXIT RATE (%)
brgov.com,2014,"['', 'dept', 'finance', 'rulesregsindex.htm']",http://brgov.com/dept/finance/rulesregsindex.htm,871,497,37.3,149,12.04,9.26
brgov.com,2018,"['', 'dept', 'brpd', 'anthraxinfo.htm']",http://brgov.com/dept/brpd/anthraxinfo.htm,2,2,3.0,0,0.0,50.0
brgov.com,2017,"['', 'metro21', 'stream']",http://brgov.com/metro21/stream,1,1,8.0,100,0.0,0.0
brgov.com,2015,"['', '…', 'agendas', 'monthly', 'november', 'sr', 'spud-4-15.pdf']",http://brgov.com/…/agendas/monthly/november/sr/spud-4-15.pdf,8,7,51.5,75,33.33,50.0
brgov.com,2018,"['', 'dept', 'crkcc', 'programs.htm']",http://brgov.com/dept/crkcc/programs.htm,2,2,3.5,0,0.0,0.0
brgov.com,2016,"['', 'dept', 'planning', 'pdf', 'adgendas', 'ldast']",http://brgov.com/dept/planning/pdf/adgendas/ldast,1,1,228.0,100,0.0,0.0
brgov.com,2016,"['', 'dept', 'citycouurt', 'warrants']",http://brgov.com/dept/citycouurt/warrants,1,1,16.0,100,0.0,0.0
brgov.com,2015,"['', 'dept', 'cu']",http://brgov.com/dept/cu,1,1,12.0,100,0.0,0.0
brgov.com,2016,"['', 'dept', 'brwb', 'center.ht,']","http://brgov.com/dept/brwb/center.ht,",2,1,21.0,50,0.0,50.0
brgov.com,2016,"['', 'reports', 'dept', 'fire']",http://brgov.com/reports/dept/fire,1,1,13.0,0,0.0,0.0
brgov.com,2014,"['', 'dept', 'citycourt', 'email.htm']",http://brgov.com/dept/citycourt/email.htm,731,600,108.37,1121,49.5,44.35
brgov.com,2014,"['', 'dept', 'fire', 'committee', 'banquet.htm']",http://brgov.com/dept/fire/committee/banquet.htm,72,48,95.21,589,42.43,40.28
brgov.com,2018,"['', 'dept', 'planning_old', 'presentations.htm']",http://brgov.com/dept/planning_old/presentations.htm,3,2,21.25,0,0.0,0.0
brgov.com,2014,"['', 'dept', 'brpd', 'news', 'pdfs', '06-25-14_missing_person.pdf']",http://brgov.com/dept/brpd/news/pdfs/06-25-14_missing_person.pdf,1,1,2.0,0,0.0,0.0
brgov.com,2014,"['', 'dept', 'finance', '06budgetindex.htm']",http://brgov.com/dept/finance/06budgetindex.htm,55,25,92.24,0,0.0,11.47
brgov.com,2016,"['', 'dept', 'purchase', 'nigp600.htm']",http://brgov.com/dept/purchase/nigp600.htm,56,43,104.77,20,6.25,21.66
brgov.com,2014,"['', 'finance', 'rules']",http://brgov.com/finance/rules,2,1,11.0,0,0.0,0.0
brgov.com,2017,"['', 'dept', '', 'recycle', 'natresources.htm']",http://brgov.com/dept//recycle/natresources.htm,1,1,0.0,100,100.0,100.0
brgov.com,2015,"['', 'dept', 'brpd', 'administration.htm']",http://brgov.com/dept/brpd/administration.htm,877,695,35.79,33,9.38,10.02
brgov.com,2016,"['', 'dept', 'planning', 'spud_final.pdf']",http://brgov.com/dept/planning/spud_final.pdf,3,2,28.0,0,0.0,33.33
brgov.com,2017,"['', 'dept', 'planning', 'agendas', 'monthly', '2016', '07july', 'sr', 'pud-4-12_cprev.pdf']",http://brgov.com/dept/planning/agendas/monthly/2016/07july/sr/pud-4-12_cprev.pdf,3,1,12.0,0,0.0,0.0
brgov.com,2014,"['', 'reports', 'publicsafety', '']",http://brgov.com/reports/publicsafety/,1,1,0.0,0,0.0,100.0
brgov.com,2014,"['', 'dept', 'ers', 'pdf', 'invpgt1stq14.pdf']",http://brgov.com/dept/ers/pdf/invpgt1stq14.pdf,4,1,20.0,0,0.0,0.0
brgov.com,2014,"['', 'maps', 'planning']",http://brgov.com/maps/planning,1,1,9.0,0,0.0,0.0
brgov.com,2014,"['', 'dept', 'mayor', 'bbr', 'sbe.htm']",http://brgov.com/dept/mayor/bbr/sbe.htm,35,19,103.27,283,20.83,41.18
brgov.com,2016,"['', 'dept', 'ocd', 'housing', 'hap.htm.']",http://brgov.com/dept/ocd/housing/hap.htm.,1,1,36.0,100,0.0,0.0
brgov.com,2016,"['', 'dept', 'brpd', 'news', 'images', 'circlekpropane2.jpg']",http://brgov.com/dept/brpd/news/images/circlekpropane2.jpg,1,1,2.0,0,0.0,0.0
brgov.com,2017,"['', 'dept', 'civil']",http://brgov.com/dept/civil,1,1,8.0,0,0.0,0.0
brgov.com,2017,"['', 'dept', 'finance', '12cafrindex.htm']",http://brgov.com/dept/finance/12cafrindex.htm,65,45,108.9,33,0.0,13.88
brgov.com,2017,"['', 'dept', 'finance', 'factsjanuary-2006.htm']",http://brgov.com/dept/finance/factsjanuary-2006.htm,12,12,15.64,400,27.27,36.36
brgov.com,2015,"['', 'dept', 'brpd', 'ers']",http://brgov.com/dept/brpd/ers,1,1,7.0,0,0.0,0.0
brgov.com,2017,"['', 'dept', 'planning_old', 'pdf', 'apps', 'a12dspudcl.pdf']",http://brgov.com/dept/planning_old/pdf/apps/a12dspudcl.pdf,4,3,35.33,0,0.0,0.0
brgov.com,2015,"['', 'dept', 'hr', 'ewxeuirmwnrdoema.hrm']",http://brgov.com/dept/hr/ewxeuirmwnrdoema.hrm,1,1,11.0,0,0.0,0.0
brgov.com,2017,"['', 'dept', 'ebrmarc', 'tips.htm']",http://brgov.com/dept/ebrmarc/tips.htm,280,227,58.22,509,14.43,33.47
brgov.com,2015,"['', 'dept', 'citycourt', 'norfolk']",http://brgov.com/dept/citycourt/norfolk,1,1,0.0,100,100.0,100.0
brgov.com,2015,"['', 'plan', 'ch9.htm']",http://brgov.com/plan/ch9.htm,250,190,76.62,213,26.67,29.19
brgov.com,2016,"['', 'dept', 'hr', 'pdf', 'emsadmin']",http://brgov.com/dept/hr/pdf/emsadmin,3,2,318.0,33,100.0,33.33
brgov.com,2016,"['', 'traffixc']",http://brgov.com/traffixc,1,1,2.0,100,0.0,0.0
brgov.com,2015,"['', 'dept', 'parishattorney', 'abc.html']",http://brgov.com/dept/parishattorney/abc.html,1,1,9.0,0,0.0,0.0
brgov.com,2016,"['', 'dept', 'brpd', 'phone.htm']",http://brgov.com/dept/brpd/phone.htm,27612,22665,139.81,1279,70.2,59.31
brgov.com,2016,"['', 'dept', 'planningnew', 'comprehensiveplan', 'comprehensiveplan', 'pdf', 'fbrvisione.pdf']",http://brgov.com/dept/planningnew/comprehensiveplan/comprehensiveplan/pdf/fbrvisione.pdf,1,1,225.0,0,0.0,0.0
brgov.com,2017,"['', 'dept', 'planning', 'wws', '']",http://brgov.com/dept/planning/wws/,1,1,0.0,100,100.0,100.0
brgov.com,2014,"['', 'dept', 'planning', 'pdf', 'subdivisionlisting']",http://brgov.com/dept/planning/pdf/subdivisionlisting,4,2,18.5,133,0.0,0.0
brgov.com,2016,"['', 'dept', 'planning', 'agendas', 'monthly', 'october', 'october_19_2015_prelimagenda.pdf']",http://brgov.com/dept/planning/agendas/monthly/october/october_19_2015_prelimagenda.pdf,1,1,5.0,100,0.0,0.0
brgov.com,2018,"['', 'dept', 'ocd', 'caleb.htm']",http://brgov.com/dept/ocd/caleb.htm,8,7,2.0,567,91.67,94.44
brgov.com,2016,"['', 'dept', 'oep', 'course']",http://brgov.com/dept/oep/course,1,1,16.0,0,0.0,0.0
brgov.com,2015,"['', 'dept', 'brpd', 'news', 'pdfs', '10-16-09_shooting_bard.pdf']",http://brgov.com/dept/brpd/news/pdfs/10-16-09_shooting_bard.pdf,4,3,3.83,0,0.0,0.0
brgov.com,2014,"['', 'dept', 'citycourt', 'appbond.htm']",http://brgov.com/dept/citycourt/appbond.htm,322,237,77.17,1393,53.36,49.92
brgov.com,2017,"['', 'dept', 'planning', 'udv', 'pdf', 'chapter8']",http://brgov.com/dept/planning/udv/pdf/chapter8,2,1,7.0,0,0.0,0.0
brgov.com,2018,"['', 'dept', 'fire', 'apparatus.htm']",http://brgov.com/dept/fire/apparatus.htm,98,85,51.4,387,13.64,22.92
brgov.com,2016,"['', 'dept', 'purchase', 'nigp655.htm']",http://brgov.com/dept/purchase/nigp655.htm,24,20,128.9,133,7.14,28.57
